LGU_clean,election_year,incumbent_name,dynasty,incumbent_terms,ira_share,local_rev_mn,enc_gol,income_class,region,health_mn_pre3,health_mn_post3,educ_mn_pre3,educ_mn_post3,pubwelf_mn_pre3,pubwelf_mn_post3,socserv_mn_pre3,socserv_mn_post3,econdev_mn_pre3,econdev_mn_post3,labor_mn_pre3,labor_mn_post3,housing_mn_pre3,housing_mn_post3,gov_mn_pre3,gov_mn_post3,totexp_mn_pre3,totexp_mn_post3
SARA,2001,,1,0,0.7046190384003935,5.01306,,3,WESTERN VISAYAS,,4.275641356666667,,0.63717971,6.999354823333334,28.825504586666668,,1.4434384033333334,4.950932746666667,8.98611648,,0.0,,0.0,13.954627539999999,22.469245116666666,25.90491511,60.28086618333333
SARA,2004,,1,0,0.6947260221371986,15.50282,,3,WESTERN VISAYAS,3.935828023333334,4.146473333333334,0.56151971,1.1439433333333333,27.32033792,24.25269,1.2971184033333334,1.8204733333333334,6.2763098133333335,12.897603333333334,0.0,0.0,0.0,0.0,23.11892845,26.41729666666667,56.71557618333333,63.567589999999996
SARA,2007,,1,0,0.6414886911488292,10.4674,,3,WESTERN VISAYAS,4.111059999999999,5.31871753,1.1410233333333333,0.8724672133333332,31.603683333333333,8.669422816666668,1.7058966666666666,2.4782380733333333,12.299306666666666,12.120120106666667,0.0,0.0,0.0,0.0,24.64570333333333,40.50382561333333,68.54869333333333,61.29336853666666
SARA,2010,,1,0,0.8733008450814173,9.34453006,,3,WESTERN VISAYAS,5.063083496666667,4.796943209999999,0.8340503533333333,0.6346331966666666,8.042937543333332,7.397444046666666,2.1458036933333333,1.9658676400000001,11.463605203333332,12.071697526666668,0.0,0.0,0.0,0.0,37.96588038666667,59.72178674666666,57.472423133333336,79.19092832
SARA,2013,,1,0,0.8900584593880629,9.381112625,,3,WESTERN VISAYAS,4.7082298966666665,3.381440996666667,0.7518590966666666,0.4159999933333333,7.738474849999999,6.851273563333334,2.2783858566666666,3.053832573333333,14.620330183333332,16.931948936666668,0.0,0.0,0.0,0.0,49.683787779999996,40.00893846333333,72.04259281333333,63.79216096333332
SARA,2016,,1,0,,0.0,,3,WESTERN VISAYAS,5.166311676666667,7.957521933333333,0.5597742866666667,1.6275842466666666,9.444488033333334,16.349201813333334,3.71840207,6.7640956333333335,19.667614516666667,32.07810608666666,0.0,0.0,0.0,0.0,61.86037932333334,86.00996387666667,90.97248187333332,134.43727177666665
SARA,2019,,1,0,0.8819081448187127,19.60626203,,3,WESTERN VISAYAS,5.245901703333334,9.65481639,1.1548716366666667,0.9189179966666666,10.808588416666666,18.22881047,4.407815076666666,7.655076083333333,22.627805333333328,15.101795436666665,0.0,0.0,0.0,0.0,55.79733164666667,82.12615641333333,89.23372539666666,115.45676232
SARA,2022,,1,0,0.9423606121040221,8.3345727,,3,WESTERN VISAYAS,8.746248126666666,,1.16929726,,17.806229016666666,,7.890683630000001,,20.89141993666667,,0.0,,0.0,,90.72944537666666,,129.42709433,
SARANGANI,1992,"CHIONGBIAN, PRISCILLA LOPONG",0,0,0.7933899546370544,12.2768,1.0,3,DAVAO REGION,,,,,,20.347886666666668,,,,9.558238666666666,,,,,,14.215478,,44.121603333333326
SARANGANI,1995,"CHIONGBIAN, PRISCILLA LOPONG",1,1,0.7986026566793367,25.938898,1.0,3,DAVAO REGION,,,,,10.979165666666667,42.87308601666667,,,5.689365,28.014842506666668,,,,,18.98933866666667,50.64055585,35.65786933333333,121.52848437333334
SARANGANI,1998,"CHIONGBIAN, PRISCILLA LOPONG",1,2,0.7541825781980641,51.211025,1.6843167543411255,3,DAVAO REGION,,37.359,,16.415,37.47874901666667,84.27092675,,4.468,23.458870173333334,55.28168035666666,,0.0,,0.524,32.33955551666667,102.25339276333334,93.27717470666666,241.80599986999997
SARANGANI,2001,"ESCOBAR, MIGUEL DRACULAN",0,2,0.9139353795372226,18.31,2.3742573261260986,3,SOCCSKSARGEN,,41.816892923333334,,10.104910353333333,55.110566750000004,219.31348653,,4.846086693333333,38.53262968999999,66.50896161666667,,0.0,,2.7886854566666663,82.04818276333333,159.75691110333335,175.69137920333333,445.57935925
SARANGANI,2004,"DOMINGUEZ, PAUL RENE GARCIA",0,2,0.9203813101787974,25.18089742999999,1.7104222774505615,3,SOCCSKSARGEN,40.389776143333336,56.452208533333334,12.300441286666667,14.344045029999998,190.63584961333333,233.30733807666664,4.707554633333333,5.8094054733333325,74.19236642,57.19426982666667,0.0,0.0,1.9056366933333333,5.020075163333334,150.92110752333335,222.20015776333332,415.7493235566667,512.7017656666667
SARANGANI,2007,"DOMINGUEZ, MIGUEL RENE ALCANTARA",1,2,0.8584748085255481,24.60008881,1.0902403593063354,3,SOCCSKSARGEN,46.56588272333334,80.79658015666666,13.578300826666668,10.797275166666665,273.8758541766667,118.06026558,5.481832579999999,6.708603656666667,51.378558913333336,89.20573791666668,0.0,0.0,2.8187639233333335,19.7578066,205.43107412333333,257.10151880666666,530.6854872133334,464.3675223033333
SARANGANI,2010,"DOMINGUEZ, MIGUEL RENE ALCANTARA",1,3,0.9520551822580241,28.709120194,1.9515937566757202,3,SOCCSKSARGEN,77.56700321333334,95.20909123000001,11.70763828,8.170793770000001,104.94672754666665,141.40800967,6.251217233333333,13.100336873333333,81.23032313,94.55547884999999,0.0,0.14096296,9.42086882,24.786824836666668,240.24770088333332,278.00860592,426.42475156,513.9720944400001
SARANGANI,2013,"SOLON, STEVE CHIONGBIAN",0,3,0.9509520957080854,31.177134266,1.0,3,SOCCSKSARGEN,94.1936185,125.87938022333333,9.691006266666667,10.816107279999999,150.64424488666668,168.16505224333332,11.758855689999999,25.673485296666666,98.53377279333334,91.13171655333333,0.14096296,0.17622772666666667,34.85980147,5.619851716666666,273.3645485,333.58539910666667,522.5425661800001,592.8821679033334
SARANGANI,2016,"SOLON, STEVE CHIONGBIAN",1,4,0.9634540341148355,34.73426119,1.3366949558258057,3,SOCCSKSARGEN,104.42467303000001,166.13254212666666,4.370788583333333,27.211890696666668,130.48411215,232.12124675333334,13.53414909,34.502705643333336,86.72937409000001,120.48797913666665,0.0,0.41440309,8.154501446666666,3.8597051966666664,295.87319818000003,405.5511134733333,513.0866844200001,758.1603393633335
SARANGANI,2019,"SOLON, STEVE CHIONGBIAN",1,5,0.8697985376145304,61.0206295,1.1585166454315186,3,SOCCSKSARGEN,146.15311227333333,366.62878651333335,22.771977090000004,19.465005193333333,215.26146920666665,423.8353710066667,41.67679544666667,36.479221779999996,111.87885180333332,152.34478391333334,0.5218710299999999,0.07942439999999999,4.137713366666667,1.1829331200000002,385.0402638366666,501.09352254333334,712.1805848466666,1077.2736774633333
SARANGANI,2022,"PACQUIAO, ROGELIO DAPIDRAN",0,5,0.9263576347574887,124.63310932,1.3824635744094849,3,SOCCSKSARGEN,285.43521126666667,,24.568134456666666,,340.96311854,,29.347104509999994,,134.10502910333332,,0.06875978666666667,,1.5439085199999998,,450.1943597066667,,925.26250735,
SARANGANI MUNICIPALITY,1992,,1,0,0.6846401050149501,1.297296,,3,DAVAO REGION,,,,,,1.1830276666666666,,,,0.7623766666666666,,,,,,3.579518333333333,,5.524922666666666
SARANGANI MUNICIPALITY,1995,,1,0,0.9117201849516975,0.7198450000000001,,3,DAVAO REGION,,,,,0.7394263333333333,1.6818206666666669,,,0.5785246666666667,0.57328,,,,,2.933146666666667,6.199306333333333,4.251097666666666,8.454407
SARANGANI MUNICIPALITY,1998,,1,0,0.9399761559838288,0.736729,,3,DAVAO REGION,,1.78484827,,0.4711808,1.7250000000000003,5.5507982799999995,,0.33709424,0.5462303333333333,1.1371436033333333,,0.0,,0.0,4.937499,10.805879216666668,7.208729333333333,17.4938211
SARANGANI MUNICIPALITY,2001,,1,0,0.9162491267200221,0.54245641,,3,DAVAO REGION,,1.4945022566666666,,0.19863164333333336,1.6583886866666668,16.517782446666665,,0.0,1.3848659366666667,1.0712427900000001,,0.0,,0.35391293000000007,9.08482929,14.470735616666667,12.128083913333333,32.05976085333334
SARANGANI MUNICIPALITY,2004,,1,0,0.9215586628262548,1.01580313,,3,DAVAO REGION,1.60687884,1.5607310933333334,0.33511591,0.17461612666666668,15.854138236666666,12.25428795,0.11236474666666667,0.09766459333333333,0.7884373233333334,0.9768906333333334,0.0,0.0,0.23705645666666667,0.21783891333333336,14.42709672,16.124603490000002,31.069672280000002,29.355782073333334
SARANGANI MUNICIPALITY,2007,,1,0,0.8739249173164585,1.50857388,,3,DAVAO REGION,1.54948278,2.1390128166666664,0.11934096000000001,0.12771141333333333,16.58249647,3.33848864,0.09766459333333333,0.741977,0.9162088233333333,1.18257572,0.0,0.0,0.22329909000000003,0.32978741,14.592709046666668,26.05376846,32.09141434,30.57483282
SARANGANI MUNICIPALITY,2010,,1,0,0.9110611132358207,3.8435921,,3,DAVAO REGION,1.9429556633333334,3.1179875566666664,0.17836266666666667,0.14577846666666666,2.51549278,3.7746026333333336,0.054,0.025197666666666663,0.9926925533333333,2.7600070999999997,0.0,0.0,0.34017444999999996,0.4856389433333333,20.83187341,30.593464710000003,24.340058743333334,37.12807444333334
SARANGANI MUNICIPALITY,2013,,1,0,0.9452867499803717,2.775006035,,3,DAVAO REGION,2.485996963333333,3.5968413233333334,0.15914338,0.05668599999999999,3.7418559566666665,4.754358033333333,0.7131746666666667,0.5882527,2.27195606,3.702069843333333,0.0,0.0,0.38354094666666666,0.51257801,30.566280200000005,38.44503994666667,36.58009221666668,46.90146782333333
SARANGANI MUNICIPALITY,2016,,1,0,0.9450933557888802,2.45371808,,3,DAVAO REGION,3.5989949333333335,4.268566916666667,0.03225166666666667,0.49035316,4.553144846666667,5.555631696666667,0.3819060333333333,0.2409514033333333,3.9392206266666663,3.6404999533333338,0.0,0.0,0.5399922133333334,0.5557602166666666,34.780102070000005,49.62647963333333,43.272467543333335,58.82261128333334
SARANGANI MUNICIPALITY,2019,,1,0,0.9733405825036663,2.42209907,,3,DAVAO REGION,4.005506703333333,8.086636026666667,0.35784535,2.0601066633333334,5.341198770000001,15.341110846666666,0.44729807,5.00011687,3.0321859033333336,21.88232706333333,0.0,0.0,0.5305486466666666,0.19425128666666666,44.49995683333333,70.63142675,52.87334150666666,107.85486466000002
SARANGANI MUNICIPALITY,2022,,1,0,0.9178620945719462,24.71658717,,3,DAVAO REGION,3.8475019133333332,,0.19682194333333336,,4.893115163333334,,0.4536354,,4.2364136766666665,,0.0,,0.3951559066666666,,41.67840107333333,,50.80792991333334,
SARIAYA,1992,,1,0,0.6822738824268985,4.437697,,3,CALABARZON,,,,,,3.6495580000000003,,,,4.943999333333333,,,,,,14.054288333333332,,22.647845666666665
SARIAYA,1995,,1,0,0.5413812421992191,19.91681,,3,CALABARZON,,,,,0.9985236666666667,10.049404666666666,,,3.642039,11.402709999999999,,,,,11.964384333333333,17.733876,16.604947,39.18599066666667
SARIAYA,1998,,1,0,0.7252532672581256,12.848945,,3,CALABARZON,,7.673195,,3.1239568,9.120224666666665,19.374920683333333,,4.215699,10.775399333333334,14.63743901,,0.09642060000000001,,0.022853,18.002018666666668,26.87202122333333,37.89764266666666,60.88438091666666
SARIAYA,2001,,1,0,0.7091521651683911,19.15185186,,3,CALABARZON,,9.140678703333334,,2.8298248000000004,11.996997270000001,52.226358506666664,,6.189522386666667,11.099375056666666,22.302076143333334,,0.028098566666666668,,0.0,20.186969476666665,34.03823405,43.283341803333336,108.5666687
SARIAYA,2004,,1,0,0.7663505359354374,21.15706779,,3,CALABARZON,8.31294888,10.93515844333333,3.074096023333334,3.303306746666667,46.45001439333333,42.979798063333334,5.628803803333334,6.538846323333335,21.219800826666667,26.258016033333334,0.060238766666666665,0.0,0.007617666666666666,0.0,34.41035072,34.462319326666666,102.08016593999999,103.70013342333334
SARIAYA,2007,,1,0,0.6177224953310936,22.32039209,,3,CALABARZON,10.478743396666667,13.49346362,3.0455426833333337,5.099642863333333,52.60017672666668,27.525519130000003,6.108597686666667,8.932412646666668,24.787020166666668,33.06674592666667,0.0,0.0,0.0,0.0,32.96729296,57.57125496999999,110.35448985333333,118.16352002666667
SARIAYA,2010,,1,0,0.8206306661232325,29.286346427,,3,CALABARZON,12.488435646666666,18.320742076666665,3.996676930000001,7.706631870000002,24.362311733333332,38.98370800666667,7.877199156666667,11.915729433333334,31.12049415333333,49.70373727,0.0,0.0,0.0,1.0406046266666666,49.72599972999999,74.66156877666667,105.20880561666667,163.34901405333335
SARIAYA,2013,,1,0,0.7785120200587566,46.740636276,,3,CALABARZON,16.14957653,29.38236955333333,7.516978876666667,7.79465788,34.79751661666666,61.83626920333334,11.13096121,23.59223901333333,39.844303796666665,54.85264956333333,0.0,0.0,0.0,1.0670027566666667,70.31959536,67.77580139666667,144.96141577333333,184.46472016333334
SARIAYA,2016,,1,0,0.7584194514758547,63.38050496,,3,CALABARZON,24.99352813333333,33.74117789666666,7.39658018,13.675981706666667,53.73575942333333,83.92824054333333,19.967396543333333,36.51108094,58.00087546333333,61.24234298666667,0.0,0.0,1.3782545666666666,0.0,67.31730822666667,108.42769777333335,179.0539431133333,253.59828130333335
SARIAYA,2019,,1,0,0.7508486358879548,102.84470454,,3,CALABARZON,33.85714594666667,25.916458936666668,11.676465236666667,4.694901433333333,76.78211016,59.76448212333333,30.519146160000002,27.2340105,57.61086486,26.73292712,0.0,0.0,0.7293528166666667,1.9191112533333332,87.78508545666666,98.49687817,222.17806047666667,184.99428741333335
SARIAYA,2022,,1,0,0.8291879249602819,76.03703142,,3,CALABARZON,31.17251698,,7.384649329999999,,67.66812997333334,,29.110963663333333,,44.395959463333334,,0.0,,0.0,,97.60084078333334,,209.66493022,
SARRAT,1992,,1,0,0.6984735943276889,1.32103,,3,ILOCOS REGION,,,,,,1.4716023333333332,,,,0.7695500000000001,,,,,,4.376119333333333,,6.617271666666666
SARRAT,1995,,1,0,0.7287759443830489,1.94664,,3,ILOCOS REGION,,,,,0.912481,2.2255249999999998,,,0.5002006666666666,1.3217713333333334,,,,,3.8008933333333332,6.665069666666667,5.213575,10.212366
SARRAT,1998,,1,0,0.7619415386298246,2.333983,,3,ILOCOS REGION,,1.8675951,,0.65866894,1.9938896666666668,5.595485526666667,,0.6755521,1.142773,3.7723671599999995,,0.0,,0.32815474,6.005902333333332,9.790870063333331,9.142565,19.15872275
SARRAT,2001,,1,0,0.7719318595183801,2.54603444,,3,ILOCOS REGION,,2.062414793333333,,0.39254470333333336,2.8882074799999997,15.529938133333333,,0.6933679766666666,1.87768892,5.000639303333333,,0.0,,0.37190469666666665,8.61524435,12.009705963333333,13.38114075,32.5402834
SARRAT,2004,,1,0,0.8487193402903671,3.27881123,,3,ILOCOS REGION,2.01023301,2.4956282533333334,0.45113679,0.7385817,13.764060086666667,13.480216003333332,0.6659491266666667,0.8289460000000001,6.55311664,3.181699996666667,0.0,0.0,0.3488405766666667,0.44920384999999996,11.464557543333333,14.400816046666668,31.78173427,31.062732046666667
SARRAT,2007,,1,0,0.6718321745351904,5.56460395,,3,ILOCOS REGION,2.129488766666667,2.733201063333333,0.5337549433333334,0.82191568,16.923509573333334,5.797672606666666,0.7729852633333333,1.5048392366666665,2.8141763333333336,7.871653363333333,0.0,0.0,0.41057993333333337,0.7377166266666667,13.076700666666667,16.921154033333334,32.81438657333334,30.59048000333333
SARRAT,2010,,1,0,0.7527378467721824,8.161577359,,3,ILOCOS REGION,2.671532583333333,4.26670209,0.9104691833333334,0.9904000866666666,5.2434250066666666,8.930465976666666,1.2015379966666666,2.614039296666667,5.3248593600000005,9.140840036666667,0.0,0.0,0.45988524333333336,1.0593245033333334,15.530747196666667,25.830169646666672,26.09903156333333,43.901475659999996
SARRAT,2013,,1,0,0.7334663699156224,10.429330181,,3,ILOCOS REGION,3.4924343233333333,5.5046598200000005,0.9322040433333334,1.2270807666666668,7.506195443333333,13.319421660000001,1.8329972133333332,5.355431173333334,10.622485973333333,6.688971603333333,0.0,0.10546666666666667,1.2485598633333332,1.1267832333333334,22.731150706666668,29.598882786666667,40.85983212333333,49.60727605
SARRAT,2016,,1,0,0.5723743691414426,14.83856537,,3,ILOCOS REGION,5.830115033333333,7.370553336666667,0.9482225400000001,1.1285093233333332,12.455488893333333,17.038337756666667,4.623374496666667,7.551825796666667,6.826083726666667,8.824458366666667,0.10546666666666667,0.0,0.9483101566666668,0.9874493000000001,29.666613119999997,33.69978163333334,48.94818573999999,59.56257775666666
