LGU_clean,election_year,incumbent_name,dynasty,ira_share,local_rev_pc,enc_gol,income_class,region,health_mn_post3,educ_mn_post3,pubwelf_mn_post3,socserv_mn_post3,econdev_mn_post3,labor_mn_post3,housing_mn_post3,gov_mn_post3,totexp_mn_post3,health_mn_pre3,educ_mn_pre3,pubwelf_mn_pre3,socserv_mn_pre3,econdev_mn_pre3,labor_mn_pre3,housing_mn_pre3,gov_mn_pre3,totexp_mn_pre3
SAMAR,2019.0,"TAN, MILAGROSA TEE",1,0.982459306716919,28.581146240234375,1.9638937711715698,3,Eastern Visayas,652.1954752604166,15.635189056396484,1065.9251302083333,97.09560139973958,199.33659871419272,0.0,0.0,327.9413604736328,1628.1514485677083,407.1799011230469,5.783281326293945,532.4171854654948,119.4540023803711,141.16636657714844,0.0,0.0,317.5968831380208,991.1804606119791
SAMAR,2022.0,"TAN, SHAREE ANN TEE",1,0.976633608341217,64.37943267822266,1.6171852350234985,3,Eastern Visayas,,,,,,,,,,516.3212890625,11.822443962097168,943.1919352213541,114.04934692382812,173.32191467285156,0.0,0.0,293.8789927164714,1427.8670247395833
SARANGANI,1992.0,"CHIONGBIAN, PRISCILLA L.",0,0.7933899760246277,12.276800155639648,1.0,3,Davao Region,0.0,0.0,20.34788640340169,0.0,9.558238983154297,0.0,0.0,14.21547794342041,79.78109486897786,,,,,,,,,
SARANGANI,1998.0,"CHIONGBIAN, PRISCILLA L.",1,0.7541826367378235,51.21102523803711,1.6843167543411255,3,Davao Region,12.45300038655599,5.471666971842448,103.85959498087566,1.4893333117167156,55.281681060791016,0.0,0.17466666301091513,102.25339253743489,259.0068766276042,0.0,0.0,37.4787483215332,0.0,23.45887056986491,0.0,0.0,32.339555740356445,130.53793080647787
SARANGANI,2001.0,"ESCOBAR, MIGUEL DRACULAN",0,0.9139354228973389,18.309999465942383,2.3742573261260986,3,SOCCSKSARGEN,41.81689325968424,10.104910532633463,219.31348673502603,4.846086502075195,66.5089619954427,0.0,2.7886854807535806,159.7569122314453,303.35951741536456,0.0,0.0,55.11056645711263,0.0,38.53263028462728,0.0,0.0,82.04818216959636,226.6865692138672
SARANGANI,2004.0,"DOMINGUEZ, PAUL RENE GARCIA",0,0.9203813076019287,25.180896759033203,1.7104222774505615,3,SOCCSKSARGEN,56.45220692952474,14.344045003255209,303.8258972167969,5.809405485788981,57.19426981608073,0.0,5.020075003306071,222.20016479492188,426.92809041341144,40.389776865641274,12.30044174194336,210.22451782226562,4.7075544993082685,74.19236628214519,0.0,1.905636727809906,150.92110697428384,294.3291015625
SARANGANI,2007.0,"DOMINGUEZ, MIGUEL RENE ALCANTARA",1,0.9406272768974304,24.600088119506836,1.0902403593063354,3,SOCCSKSARGEN,80.7965799967448,10.797275225321451,85.03748067220052,6.708603541056315,89.2057393391927,0.0,19.75780709584554,257.1015218098958,480.96559651692706,46.56588236490885,13.578300793965658,273.8758595784505,5.481832504272461,51.37855911254883,0.0,2.8187638918558755,205.43108113606772,383.7217712402344
SARANGANI,2010.0,"DOMINGUEZ, MIGUEL RENE ALCANTARA",1,0.9520551562309265,28.70911979675293,1.9515937566757202,3,SOCCSKSARGEN,95.20909118652344,8.170793851216635,108.26222515106201,13.100337028503418,94.55548095703125,0.14096295833587646,24.786824862162273,278.00860595703125,515.5921732584635,77.56700134277344,11.707638422648111,142.44249471028647,6.251217206319173,81.2303237915039,0.0,9.420868555704752,240.2477010091146,459.5842692057292
SARANGANI,2013.0,"SOLON, STEVE CHIONGBIAN",0,0.9509520530700684,31.177133560180664,1.0,3,SOCCSKSARGEN,156.4546915690104,17.51867389678955,168.16504923502603,32.473547299702965,91.13171641031902,0.17622772852579752,1.3067628939946492,333.5853983561198,594.1329752604166,94.19361877441406,9.691006342569986,150.64424641927084,11.758855819702148,98.53377532958984,0.14096295833587646,34.85980224609375,273.3645528157552,523.6912434895834
SARANGANI,2016.0,"SOLON, STEVE CHIONGBIAN",1,0.9634540677070618,34.73426055908203,1.3366949558258057,3,SOCCSKSARGEN,166.1325429280599,27.211890538533527,232.1212412516276,34.502705891927086,120.48798116048177,0.41440309087435406,3.8597052097320557,405.5511169433594,762.7354329427084,134.99998219807944,11.073355356852213,97.33832581837972,20.334210713704426,86.72937520345052,0.0,3.8414125045140586,295.8731994628906,513.7960713704427
SARANGANI,2019.0,"SOLON, STEVE CHIONGBIAN",1,0.8697985410690308,61.0206298828125,1.1585166454315186,3,SOCCSKSARGEN,301.2784016927083,14.786814371744791,458.3400370279948,31.703338623046875,163.2557830810547,0.15884880224863687,0.6987090110778809,545.2850545247396,1168.7547607421875,146.15311686197916,22.771977106730144,215.26146443684897,41.676795959472656,111.87885284423828,0.521871030330658,4.137713352839152,385.04026285807294,716.0412801106771
SARANGANI,2022.0,"PACQUIAO, ROGELIO DAPIDRAN",0,0.9263575673103333,124.63311004638672,1.3824635744094849,3,SOCCSKSARGEN,,,,,,,,,,220.08482869466147,19.889943440755207,375.4677734375,24.571221669514973,145.01602681477866,0.14818419019381204,1.05968443552653,494.38588460286456,1018.1575724283854
SIQUIJOR,1998.0,"BALANAY, LUCITO B.",0,0.9477888345718384,4.736844062805176,1.8707494735717773,3,Central Visayas,12.568519592285156,0.36293919881184894,47.006212870279946,0.3068427840868632,34.31001536051432,0.0,0.0,28.39681053161621,109.99133809407552,0.0,0.0,23.07420031229655,0.0,15.471549987792969,0.0,0.0,14.975722948710123,70.6545918782552
SIQUIJOR,2001.0,"FUA, ORLANDO SR. BONGCAWEL",0,0.9305481910705566,8.236506462097168,1.946725845336914,3,Central Visayas,39.10332361857096,0.9304348230361938,78.4349365234375,1.1488901376724243,36.99530855814616,0.0,0.0,37.25228627522787,131.74534606933594,0.0,0.0,33.64069747924805,0.0,25.97777811686198,0.0,0.0,24.049482345581055,100.08767191569011
SIQUIJOR,2004.0,"FUA, ORLANDO SR. BONGCAWEL",1,0.9551367163658142,6.748161792755127,1.9487762451171875,3,Central Visayas,41.43226750691732,0.7468706965446472,92.4992167154948,1.2838166157404582,33.5125675201416,0.0,0.0,49.03626251220703,151.8843536376953,39.50245157877604,1.001691997051239,76.9096908569336,1.0702508489290874,43.3736686706543,0.0,0.0,35.335296630859375,127.71685028076172
SIQUIJOR,2007.0,"FUA, ORLANDO JR. ANOOS",1,0.9422022104263306,11.00307559967041,1.2454485893249512,3,Central Visayas,49.396993001302086,0.9398608605066935,39.03880182902018,3.4970367749532065,48.917423248291016,0.0,0.0,63.63021723429362,180.3763224283854,39.4520009358724,0.846325953801473,84.83728790283203,1.2160948514938354,31.10195032755534,0.0,0.0,43.32286580403646,139.33065795898438
SIQUIJOR,2010.0,"FUA, ORLANDO JR. ANOOS",1,0.8746357560157776,37.12607955932617,1.199846863746643,3,Central Visayas,69.82902145385742,2.7647414604822793,53.46674426396688,8.967124462127686,69.43137613932292,0.0,0.0,86.17461395263672,239.30203755696616,45.18984858194987,0.8116551637649536,52.06726201375326,2.521773338317871,39.9068349202474,0.0,0.0,58.20265197753906,172.04841105143228
SIQUIJOR,2013.0,"VILLA, ZALDY SAMSON",0,0.8332116603851318,56.325496673583984,1.780247449874878,3,Central Visayas,88.07903671264648,3.199385697642962,67.86606725056966,7.34507942199707,39.425559997558594,0.0,0.0,65.6544583638509,173.1361846923828,61.096021016438804,2.0808350245157876,72.08519236246745,8.908337116241455,68.02359390258789,0.0,0.0,79.6602783203125,222.68451436360678
SIQUIJOR,2016.0,"VILLA, ZALDY SAMSON",1,0.8858325481414795,51.45981216430664,1.7745612859725952,3,Central Visayas,130.88955688476562,4.110012531280518,141.66330210367838,6.6637349128723145,55.19569651285807,0.0,0.0,92.51417795817058,289.37318929036456,94.74869791666667,2.8399952799081802,44.23047081629435,5.493353684743245,50.81874211629232,0.0,0.0,77.82229105631511,201.35218302408853
SIQUIJOR,2019.0,"VILLA, ZALDY SAMSON",1,0.8802172541618347,70.45529174804688,1.3402745723724365,3,Central Visayas,164.661376953125,3.3629719416300454,234.7448933919271,11.146920522054037,73.52127202351888,0.0,0.0,152.42823282877603,463.2765808105469,105.44241460164388,4.248993078867595,118.20156860351562,8.510159969329834,46.720715840657554,0.0,0.0,81.35949071248372,246.30010986328125
SIQUIJOR,2022.0,"VILLA, JAKE VINCENT SARMIENTO",1,0.8988620638847351,96.8011245727539,1.9623792171478271,3,Central Visayas,,,,,,,,,,128.1979726155599,2.9062347412109375,193.74384562174478,7.066015561421712,66.41601816813152,0.0,0.0,128.529416402181,389.9803771972656
SORSOGON,1992.0,"FRIVALDO, JUAN G.",0,0.8468419909477234,8.745189666748047,1.971235990524292,3,Bicol Region,0.0,0.0,48.73184458414713,0.0,22.12240187327067,0.0,0.0,27.38250160217285,121.56948598225911,,,,,,,,,
